ID	DOCULECT	CONCEPTICON_ID	CONCEPTICON_GLOSS	VALUE
573	Sapibokona	1301	FOOT	ebbachi
574	Sapibokona	658	RAIN (PRECIPITATION)	nai
575	Sapibokona	156	RED	uchume
576	Sapibokona	857	STONE	tumu
577	Sapibokona	420	FOREST	eihêru
578	Sapibokona	1343	SUN	iseti
579	Sapibokona	1430	STAR	uvanabi
580	Sapibokona	1591	UP	evacuezbù
581	Sapibokona	1228	EARTH (SOIL)	mechi
582	Sapibokona	937	BIRD	buni
583	Sapibokona	960	WIND	veni
584	Sapibokona	1554	MAN	reanci
585	RemoBlanco	692	BRING	niriuta
586	RemoBlanco	1629	EVENING	nabui
587	RemoBlanco	769	ROOF	heuma
588	RemoBlanco	1035	GOOD	iru
589	RemoBlanco	1035	GOOD	hapudisi
590	RemoBlanco	1292	BAD	iruma
591	RemoBlanco	1161	THREAD	kiru
592	RemoBlanco	136	HERE	charuui
593	RemoBlanco	1406	FAR	imama
594	RemoBlanco	1406	FAR	puraha
595	RemoBlanco	1339	MORNING	nabodi
596	RemoBlanco	1339	MORNING	nahodi
597	RemoBlanco	1339	MORNING	sumitiri nauriya
598	RemoBlanco	1174	YESTERDAY	toponotzanidia
599	RemoBlanco	977	ARROW	taua
600	RemoBlanco	977	ARROW	piha
601	RemoBlanco	1423	FIGHT	achinei
602	RemoBlanco	1409	SEE	haibuiru
603	RemoBlanco	1430	STAR	eschti üfuu
604	RemoBlanco	1313	MOON	üjui
605	RemoBlanco	1150	THUNDER	neibanai hanabushi
607	RemoBlanco	1486	PLANT (SOMETHING)	huanei
608	RemoBlanco	1269	NO	inuhama
609	RemoBlanco	974	TOBACCO	rumwuma
610	RemoBlanco	1517	WASP	vinavina
611	RemoBlanco	1735	TEAR (SHRED)	putashinca
612	RemoBlanco	680	BREAK (DESTROY OR GET DESTROYED)	putashinca
613	RemoBlanco	1439	SWIM	nuaigue
614	RemoBlanco	1215	THOU	mi
615	RemoBlanco	1212	WE	nurana
616	RemoBlanco	1447	GIVE	pahameita
617	RemoBlanco	138	BATHE	tchuiya
618	RemoBlanco	1287	COLD	matzi
619	RemoBlanco	2009	DOG	innu
620	RemoBlanco	1970	CANOE	neuti
621	RemoBlanco	1847	SICK	mahai
622	RemoBlanco	1372	MEDICINE	rau
623	RemoBlanco	1585	SLEEP	uhai
624	RemoBlanco	1593	DEEP	noa
