ID	DOCULECT	CONCEPTICON ID	CONCEPTICON_GLOSS	VALUE
1627	Araona_IDS	923	LOVE	a-aba
1628	Araona_IDS	923	LOVE	-lipi
1629	Araona_IDS	928	EMBRACE	izami
1630	Araona_IDS	928	EMBRACE	zamoho-ti
1631	Araona_IDS	1783	PAIN	ane
1632	Araona_IDS	1783	PAIN	neda
1633	Araona_IDS	1839	CRY	pa
1634	Araona_IDS	1651	TEAR (OF EYE)	toa-na
1635	Araona_IDS	781	FEAR (FRIGHT)	akeoli
1636	Araona_IDS	781	FEAR (FRIGHT)	aheni
1637	Araona_IDS	1784	WANT	dewa
1638	Araona_IDS	1784	WANT	toma
1639	Araona_IDS	1750	CHOOSE	iǰada
1640	Araona_IDS	1750	CHOOSE	moho
1641	Araona_IDS	1657	TRUE	toa
1642	Araona_IDS	1657	TRUE	c̷imewe
1643	Araona_IDS	601	LIE (MISLEAD)	dipanoši
1644	Araona_IDS	1035	GOOD	ahai
1645	Araona_IDS	1035	GOOD	da
1646	Araona_IDS	1035	GOOD	hai-ǰa
1647	Araona_IDS	1292	BAD	-isi
1648	Araona_IDS	1292	BAD	šili
1649	Araona_IDS	1292	BAD	masawe
1650	Araona_IDS	1415	THINK (REFLECT)	nime-a
1651	Araona_IDS	1410	KNOW (SOMETHING)	ba
1652	Araona_IDS	1410	KNOW (SOMETHING)	ba-mewe
1653	Araona_IDS	1523	FORGET	iboeta
